date,symbol,holder_level,holders,shares,ratio,source
2026-05-29,1110,15,36,524694955,91.72,TDCC
2026-05-29,1110,16,0,0,0.0,TDCC
2026-05-29,1110,17,5242,572000797,100.0,TDCC
2026-05-29,1110,2,1613,3235010,0.56,TDCC
2026-05-29,1110,3,279,2214377,0.38,TDCC
2026-05-29,1110,4,97,1222135,0.21,TDCC
2026-05-29,1110,5,63,1181855,0.2,TDCC
2026-05-29,1110,6,80,2081123,0.36,TDCC
2026-05-29,1110,7,48,1760421,0.3,TDCC
2026-05-29,1110,8,31,1440246,0.25,TDCC
2026-05-29,1110,9,74,5366410,0.93,TDCC
2026-05-29,1201,1,64590,3544892,0.7,TDCC
2026-05-29,1201,10,147,20825161,4.11,TDCC
2026-05-29,1201,11,73,21297991,4.2,TDCC
2026-05-29,1201,12,21,10721015,2.11,TDCC
2026-05-29,1201,13,9,6239209,1.23,TDCC
2026-05-29,1201,14,3,2610000,0.51,TDCC
2026-05-29,1201,15,28,300683949,59.41,TDCC
2026-05-29,1201,16,0,0,0.0,TDCC
2026-05-29,1201,17,88434,506062914,100.0,TDCC
2026-05-29,1201,2,17890,37342983,7.37,TDCC
2026-05-29,1201,3,2842,22880075,4.52,TDCC
2026-05-29,1201,4,852,10990246,2.17,TDCC
2026-05-29,1201,5,642,12004070,2.37,TDCC
2026-05-29,1201,6,533,13956137,2.75,TDCC
2026-05-29,1201,7,302,10951127,2.16,TDCC
2026-05-29,1201,8,180,8406305,1.66,TDCC
2026-05-29,1201,9,322,23609754,4.66,TDCC
2026-05-29,1203,1,52789,871673,0.36,TDCC
2026-05-29,1203,10,24,3361923,1.4,TDCC
2026-05-29,1203,11,15,4112330,1.71,TDCC
2026-05-29,1203,12,7,3598390,1.49,TDCC
2026-05-29,1203,13,5,3365778,1.4,TDCC
2026-05-29,1203,14,4,3544097,1.47,TDCC
2026-05-29,1203,15,35,208039465,86.68,TDCC
2026-05-29,1203,16,0,0,0.0,TDCC
2026-05-29,1203,17,55786,240000000,100.0,TDCC
2026-05-29,1203,2,2353,4352364,1.81,TDCC
2026-05-29,1203,3,291,2105649,0.87,TDCC
2026-05-29,1203,4,108,1324512,0.55,TDCC
2026-05-29,1203,5,41,725855,0.3,TDCC
2026-05-29,1203,6,50,1265101,0.52,TDCC
2026-05-29,1203,7,21,733869,0.3,TDCC
2026-05-29,1203,8,17,744795,0.31,TDCC
2026-05-29,1203,9,26,1854199,0.77,TDCC
2026-05-29,1204,1,2234,494101,2.68,TDCC
2026-05-29,1204,10,5,648175,3.52,TDCC
2026-05-29,1204,11,3,721733,3.92,TDCC
2026-05-29,1204,12,1,540500,2.94,TDCC
2026-05-29,1204,13,3,2027300,11.02,TDCC
2026-05-29,1204,14,0,0,0.0,TDCC
2026-05-29,1204,15,2,5838800,31.76,TDCC
2026-05-29,1204,16,0,0,0.0,TDCC
2026-05-29,1204,17,3523,18381966,100.0,TDCC
2026-05-29,1204,2,836,1708757,9.29,TDCC
2026-05-29,1204,3,220,1415922,7.7,TDCC
2026-05-29,1204,4,105,1220762,6.64,TDCC
2026-05-29,1204,5,38,652668,3.55,TDCC
2026-05-29,1204,6,33,830923,4.52,TDCC
2026-05-29,1204,7,12,425852,2.31,TDCC
2026-05-29,1204,8,11,507550,2.76,TDCC
2026-05-29,1204,9,20,1348923,7.33,TDCC
2026-05-29,1207,1,32917,8955920,1.92,TDCC
2026-05-29,1207,10,81,11672882,2.51,TDCC
2026-05-29,1207,11,27,6794140,1.46,TDCC
2026-05-29,1207,12,12,5678402,1.22,TDCC
2026-05-29,1207,13,4,2735538,0.58,TDCC
2026-05-29,1207,14,1,848000,0.18,TDCC
2026-05-29,1207,15,31,349164737,75.23,TDCC
2026-05-29,1207,16,0,0,0.0,TDCC
2026-05-29,1207,17,46767,464094238,100.0,TDCC
2026-05-29,1207,2,10229,22380972,4.82,TDCC
2026-05-29,1207,3,1769,12788262,2.75,TDCC
2026-05-29,1207,4,593,7226749,1.55,TDCC
2026-05-29,1207,5,370,6810594,1.46,TDCC
2026-05-29,1207,6,301,7552368,1.62,TDCC
2026-05-29,1207,7,182,6377057,1.37,TDCC
2026-05-29,1207,8,98,4550044,0.98,TDCC
2026-05-29,1207,9,152,10558573,2.27,TDCC
2026-05-29,1210,1,49455,6309768,0.7,TDCC
2026-05-29,1210,10,209,28938848,3.23,TDCC
2026-05-29,1210,11,98,28352355,3.16,TDCC
2026-05-29,1210,12,32,15891785,1.77,TDCC
2026-05-29,1210,13,15,10012871,1.11,TDCC
2026-05-29,1210,14,11,9788942,1.09,TDCC
2026-05-29,1210,15,80,525112424,58.68,TDCC
2026-05-29,1210,16,0,0,0.0,TDCC
2026-05-29,1210,17,104556,894767222,100.0,TDCC
2026-05-29,1210,2,41795,84760096,9.47,TDCC
2026-05-29,1210,3,7131,51173919,5.71,TDCC
2026-05-29,1210,4,2366,28617540,3.19,TDCC
2026-05-29,1210,5,1171,20821709,2.32,TDCC
2026-05-29,1210,6,987,24167593,2.7,TDCC
2026-05-29,1210,7,486,16949877,1.89,TDCC
2026-05-29,1210,8,269,12325748,1.37,TDCC
2026-05-29,1210,9,451,31543747,3.52,TDCC
2026-05-29,1212,1,20122,3928786,2.25,TDCC
2026-05-29,1212,10,99,14282231,8.19,TDCC
2026-05-29,1212,11,44,12110772,6.95,TDCC
2026-05-29,1212,12,14,6641395,3.81,TDCC
2026-05-29,1212,13,8,5740414,3.29,TDCC
2026-05-29,1212,14,3,2701784,1.55,TDCC
2026-05-29,1212,15,20,61974230,35.57,TDCC
2026-05-29,1212,16,0,0,0.0,TDCC
2026-05-29,1212,17,30457,174198556,100.0,TDCC
2026-05-29,1212,2,7282,15899654,9.12,TDCC
2026-05-29,1212,3,1419,10470645,6.01,TDCC
2026-05-29,1212,4,504,6098761,3.5,TDCC
2026-05-29,1212,5,297,5528889,3.17,TDCC
2026-05-29,1212,6,251,6329357,3.63,TDCC
2026-05-29,1212,7,118,4311868,2.47,TDCC
2026-05-29,1212,8,97,4640984,2.66,TDCC
2026-05-29,1212,9,179,13538786,7.77,TDCC
2026-05-29,1213,1,5004,267237,0.47,TDCC
2026-05-29,1213,10,10,1178060,2.08,TDCC
2026-05-29,1213,11,3,731000,1.29,TDCC
2026-05-29,1213,12,2,837694,1.47,TDCC
2026-05-29,1213,13,0,0,0.0,TDCC
2026-05-29,1213,14,2,1864940,3.29,TDCC
2026-05-29,1213,15,8,43862551,77.46,TDCC
2026-05-29,1213,16,0,0,0.0,TDCC
2026-05-29,1213,17,6620,56622627,100.0,TDCC
2026-05-29,1213,2,1216,2395406,4.23,TDCC
2026-05-29,1213,3,203,1504633,2.65,TDCC
2026-05-29,1213,4,72,865674,1.52,TDCC
2026-05-29,1213,5,35,639328,1.12,TDCC
2026-05-29,1213,6,32,789169,1.39,TDCC
2026-05-29,1213,7,8,285600,0.5,TDCC
2026-05-29,1213,8,14,628500,1.1,TDCC
2026-05-29,1213,9,11,772835,1.36,TDCC
2026-05-29,1215,1,66197,4242220,1.43,TDCC
2026-05-29,1215,10,58,7824877,2.65,TDCC
2026-05-29,1215,11,26,7778540,2.63,TDCC
2026-05-29,1215,12,5,2520100,0.85,TDCC
2026-05-29,1215,13,8,5494672,1.86,TDCC
2026-05-29,1215,14,3,2650800,0.89,TDCC
2026-05-29,1215,15,20,177266680,60.13,TDCC
2026-05-29,1215,16,0,0,0.0,TDCC
2026-05-29,1215,17,91706,294790098,100.0,TDCC
2026-05-29,1215,2,21705,39992029,13.56,TDCC
2026-05-29,1215,3,2244,15777417,5.35,TDCC
2026-05-29,1215,4,678,8240760,2.79,TDCC
2026-05-29,1215,5,284,5021958,1.7,TDCC
2026-05-29,1215,6,233,5765371,1.95,TDCC
2026-05-29,1215,7,102,3555999,1.2,TDCC
2026-05-29,1215,8,53,2401886,0.81,TDCC
2026-05-29,1215,9,90,6256789,2.12,TDCC
