date,symbol,foreign_net,investment_trust_net,dealer_net,total_institutional_net,source
2026-01-02,4163,-1000,0,0,-1000,TPEX
2026-01-02,4166,-175000,0,0,-175000,TPEX
2026-01-02,4167,-389000,0,0,-389000,TPEX
2026-01-02,4168,47000,0,0,47000,TPEX
2026-01-02,4171,25000,0,-95,24905,TPEX
2026-01-02,4173,40000,0,0,40000,TPEX
2026-01-02,4174,-71035,0,34,-71001,TPEX
2026-01-02,4175,0,0,0,0,TPEX
2026-01-02,4207,-12000,0,0,-12000,TPEX
2026-01-02,4303,68000,0,-32854,35146,TPEX
2026-01-02,4305,0,0,78,78,TPEX
2026-01-02,4401,6000,0,0,6000,TPEX
2026-01-02,4402,15000,0,-3,14997,TPEX
2026-01-02,4413,-1000,0,23,-977,TPEX
2026-01-02,4416,8000,0,0,8000,TPEX
2026-01-02,4417,4000,0,550,4550,TPEX
2026-01-02,4419,-2000,0,-76,-2076,TPEX
2026-01-02,4420,-24795,0,686,-24109,TPEX
2026-01-02,4432,8000,0,0,8000,TPEX
2026-01-02,4433,3000,0,0,3000,TPEX
2026-01-02,4442,-1000,0,0,-1000,TPEX
2026-01-02,4502,1000,0,0,1000,TPEX
2026-01-02,4503,38000,0,13,38013,TPEX
2026-01-02,4506,3000,0,-18,2982,TPEX
2026-01-02,4510,217000,0,70,217070,TPEX
2026-01-02,4513,70000,0,0,70000,TPEX
2026-01-02,4523,40000,0,-371,39629,TPEX
2026-01-02,4527,0,0,1083,1083,TPEX
2026-01-02,4528,-3000,0,0,-3000,TPEX
2026-01-02,4530,0,0,-83,-83,TPEX
2026-01-02,4533,201000,0,4000,205000,TPEX
2026-01-02,4534,-44000,0,705,-43295,TPEX
2026-01-02,4535,-1000,0,0,-1000,TPEX
2026-01-02,4538,-1000,0,0,-1000,TPEX
2026-01-02,4541,163000,0,881,163881,TPEX
2026-01-02,4542,162000,0,0,162000,TPEX
2026-01-02,4543,16000,0,693,16693,TPEX
2026-01-02,4549,18000,0,-652,17348,TPEX
2026-01-02,4554,-1000,0,0,-1000,TPEX
2026-01-02,4558,-2000,0,-9,-2009,TPEX
2026-01-02,4561,33000,0,46,33046,TPEX
2026-01-02,4563,67000,0,3381,70381,TPEX
2026-01-02,4568,1000,0,0,1000,TPEX
